Date,Description,Amount,Type,Balance
2024-01-15,UPI-SWIGGY-ORDER-12345,250.00,Debit,15750.00
2024-01-15,UPI-SALARY-CREDIT-COMPANY,25000.00,Credit,16000.00
2024-01-14,UPI-GROCERY-STORE-456,450.00,Debit,16000.00
2024-01-14,UPI-MOBILE-RECHARGE-789,199.00,Debit,16450.00
2024-01-13,UPI-RENT-PAYMENT-JAN,12000.00,Debit,16649.00
2024-01-13,UPI-REFUND-AMAZON-123,299.00,Credit,28649.00
2024-01-12,UPI-FUEL-PETROL-PUMP,2000.00,Debit,28350.00
2024-01-12,UPI-NETFLIX-SUBSCRIPTION,199.00,Debit,30350.00
2024-01-11,UPI-MEDICAL-PHARMACY,350.00,Debit,30549.00
2024-01-11,UPI-UBER-RIDE-789,150.00,Debit,30899.00
